label,text
Activarea abonamentelor Smartbill,am facut plata pentru un nou abonament si doresc sa trimit dovada platii
Activarea abonamentelor Smartbill,Unde pot sa va trimit un OP?
Activarea abonamentelor Smartbill,"Am achitat, vreau sa imi activati mai repede"
Activarea abonamentelor Smartbill,"Am platit abonamentul, cum fac sa imi dati acces la program?"
Activarea abonamentelor Smartbill,Cum va trimit dovada de plata ca sa imi activati abonamentul?
Activarea optiunii pentru utilizarea codurilor de bare,cum activez codurile de bare...sau unde le pot seta?
Activarea optiunii pentru utilizarea codurilor de bare,Cum fac sa folosesc codurile de bare in aplicatie?
Activarea optiunii pentru utilizarea codurilor de bare,De unde setez codurile de bare pentru produse?
Activarea optiunii pentru utilizarea codurilor de bare,Nu gasesc cum sa pun codurile de bare in program
Actualizare stoc prin inventar,"Stocul nu este actualizat,nu am emis facturi cu descarcare, cum il actulizez rapid?"
Actualizare stoc prin inventar,Cum reglez stocul daca am facturi fara descarcare de gestiune?
Actualizare stoc prin inventar,Cum fac un inventar in aplicatie?
Actualizare stoc prin inventar,De unde emit un inventar ca sa imi actualizez stocurile?
Actualizare stoc prin inventar,"Am observat ca stocul meu nu este actualizat, nu prea am emis facturi cu descarcare si as dori sa il actualizez printr-o metoda rapida, cum fac asta?"
Adaugare automata a produselor noi in nomenclator,cum adauga automat un produs nou in nomenclator
Adaugare automata a produselor noi in nomenclator,ce insemna ca doresc sa adaug un produs nou in nomenclator
Adaugare automata a produselor noi in nomenclator,adaugarea unui produs nou in nomeclator
Adaugare automata a produselor noi in nomenclator,vreau sa adaug un produs nou in nomeclator
Adaugare automata mentiuni pe document,"Cum fac sa adaug automat mentiuni, la emitere?"
Adaugare automata mentiuni pe document,Programul memoreaza mentiunile?
Adaugare automata mentiuni pe document,Cum salvez mentiunile in program?
Adaugare automata mentiuni pe document,Pot sa adaug o mentiune pe factura si sa ramana salvata pe viitor?
Adaugare automata mentiuni pe document,Vreau sa adaug un text suplimentar pe factura si sa ramana salvat.
Adaugare buton pentru plata cu card pe facturi,Cum adaug linkul de plata card?
Adaugare buton pentru plata cu card pe facturi,De unde adaug butonul de plata cu cardul?
Adaugare buton pentru plata cu card pe facturi,Pot emite proforma cu buton de plata card?
Adaugare buton pentru plata cu card pe facturi,Se poate emite voucher cu link de plata card?
Adaugare buton pentru plata cu card pe facturi,Pe ce documente pot sa adaug butonul de plata cu cardul?
Adaugare buton pentru plata cu card pe facturi,Cum pun buton pentru plata cu cardul pe factura?
Adaugare buton pentru plata cu card pe facturi,Vreau sa pun pe factura buton de plata cu cardul
Adaugare buton pentru plata cu card pe facturi,Vreau sa adaug pe factura link de plata pentru client
Adaugare buton pentru plata cu card pe facturi,Cum emit cu link de plata card?
Adaugare buton pentru plata cu card pe facturi,Cum pun link-ul de plata card?
Adaugare buton pentru plata cu card pe facturi,Vreau sa emit cu link de plata
Adaugare cheltuiala de tip manopera,Cum fac sa adaug o cheltuiala cu manopera unui produs compus?
Adaugare cheltuiala de tip manopera,Se poate adauga si manopera in componenta unui produs finit?
Adaugare cheltuiala de tip manopera,Cum includ cheltuieli in procesul de productie?
Adaugare cheltuiala de tip manopera,Vreau sa adaug o taxa la reteta produsului compus.
Adaugare cheltuiala de tip manopera,cum pot inregistra cheltuieli cu manopera pe un produs compus
Adaugare cheltuiala de tip manopera,inregistrare manopera in costul produsului finit
Adaugare CIF intracomunitar,Cum fac sa imi adaug un CIF intracomunitar pentru a factura ulterior cu acesta?
Adaugare CIF intracomunitar,Unde pun in program CIF intracomunitar?
Adaugare CIF intracomunitar,"Cum introduc in program un CIF intracomunitar, ca sa emit facturi de pe el?"
Adaugare CIF intracomunitar,Am CIF special pentru intracomunitar dar nu stiu cum sa-l adaug pe factura.
Adaugare client extern,"Nu stiu cum sa adaug un client nou, din afara tarii."
Adaugare client extern,Cum preiau datele pentru un client extern?
Adaugare client extern,Vreau sa adaug un client extern si nu reusesc.
Adaugare client extern,Cum adaug un client strain?
Adaugare client extern,Am un client extern fara cif si nu stiu cum sa-l adaug.
Adaugare client extern,Adaugare client extern
Adaugare client nou in Nomenclator,Cum adaug un client?
Adaugare client nou in Nomenclator,Din ce meniu pot sa adaug clienti?
Adaugare client nou in Nomenclator,Nu gasesc meniul de adaugare client.
Adaugare client nou in Nomenclator,unde pot adauga un client
Adaugare client nou in Nomenclator,cum inregistrez un client nou
Adaugare client nou in Nomenclator,adaugare inregistrare client
Adaugare client pe factura,Cum adaug clientul pe factura?
Adaugare client pe factura,"Vreau sa preiau datele clientului automat, cand emit factura."
Adaugare client pe factura,Am un client nou si nu stiu cum sa-l adaug la emitere factura.
Adaugare client pe factura,Nu gasesc optiunea de adaugare client la emitere factura.
Adaugare cont nou pe factura,Cum adaug un cont noiu pe factura
Adaugare cote TVA ,Am pe factura furnizor o cota TVA care nu este disponibila in lista de cote TVA in aplicatie.
Adaugare cote TVA ,Cum emit un NIR cu o cota de TVA diferita fata de cele din SmartBill?
Adaugare cote TVA ,Ce fac daca nu regasesc in SmartBill cota TVA pe care o doresc?<br>
Adaugare cote TVA ,Nu vad in SmartBill cota TVA pe care o vreau<br>
Adaugare cote TVA ,Cum adaug o cota de TVA care nu e in aplicatie?<br>
Adaugare delegat nou,De unde adaug un delegat nou?
Adaugare delegat nou,Cum schimb datele delegatului?
Adaugare delegat nou,Vreau sa schimb datele delegatului.
Adaugare delegat nou,Pot sa mai adaug delegati?
Adaugare delegat nou,cum inregistrez delegat nou
Adaugare delegat nou,schimbare date delegat
Adaugare delegat nou,datele noului delegat pe factura
Adaugare delegat nou,specific datele delegatului pe factura
Adaugare delegat nou,de unde adaug delegati?
Adaugare e-mail pentru sumar saptamanal / lunar,Unde mai adaug un email pentru trimiterea sumarelor?
Adaugare e-mail pentru sumar saptamanal / lunar,Se pot trimite sumarele si catre alta adresa?
Adaugare e-mail pentru sumar saptamanal / lunar,Vreau sa primesc sumarele si pe o alta adresa de email.
Adaugare e-mail pentru sumar saptamanal / lunar,Unde adaug email pentru sumar?
Adaugare e-mail pentru sumar saptamanal / lunar,Cum trimit sumarul si la alta adresa?
Adaugare e-mail pentru sumar saptamanal / lunar,Cum primesc sumarul si pe alta adresa?
Adaugare furnizor,Cum adaug un furnizor?
Adaugare furnizor,Din ce meniu pot sa adaug furnizori?
Adaugare furnizor,Nu gasesc meniul de adaugare furnizor.
Adaugare furnizor,Pot sa import o lista cu furnizori?
Adaugare furnizor,Cum import furnizorii?
Adaugare furnizor,Vreau sa import lista de furnizori
Adaugare furnizor,De unde adaug mai multi furnizori
Adaugare furnizor,vreau sa introduc un furnizor
Adaugare furnizor,de unde pot sa creez un furnizor
Adaugare furnizor,Cum inregistrez un furnizor din afara tarii?
Adaugare furnizor,Furnizorul meu este dintr-o alta tara.
Adaugare furnizor,Cum introduc un furnizor strain?
Adaugare furnizor,cum adaug un furnizor extern
Adaugare furnizor,cum adaug un furnizor strain
Adaugare furnizor,vreau sa adaug un furnizor strain
Adaugare furnizor,cum adaug furnizorul din afara tarii?
Adaugare furnizor,adaugare furnizori externi
Adaugare furnizor,Cum introduc in nomenclator furnizori externi ?
Adaugare grupari produse,In ce meniu pot adauga grupari?
Adaugare grupari produse,Unde gasesc optiunea de grupari produse?
Adaugare grupari produse,De unde pot sa adaug gruparile?
Adaugare grupari produse,"Cate grupari pot sa adaug pentru produse, si de unde?"
Adaugare grupari produse,Cum fac sa adaug gruparile pentru produse?
Adaugare intocmitor la emiterea unui document,De unde adaug un intocmitor nou?
Adaugare intocmitor la emiterea unui document,Cum schimb datele persoanei ce factureaza?
Adaugare intocmitor la emiterea unui document,Vreau sa schimb datele intocmitorului.
Adaugare intocmitor la emiterea unui document,Cum adaug o noua persoana ca intocmitor?
Adaugare intocmitor la emiterea unui document,Pot sa mai adaug intocmitori?
Adaugare intocmitor la emiterea unui document,Cum schimb intocmitorul pe factura?
Adaugare intocmitor la emiterea unui document,Vreau sa modific numele intocmitorului pe factura
Adaugare mai multe adrese de email pentru acelasi client,Cum adaug mai multe adrese de email pentru client?
Adaugare mai multe adrese de email pentru acelasi client,Pot sa completez mai multe emailuri pentru client?
Adaugare mai multe adrese de email pentru acelasi client,In ce meniu pot sa salvez mai multe adrese de email pe client?
Adaugare mai multe adrese de email pentru acelasi client,Am un client cu mai multe adrese de e-mail.
Adaugare mai multe adrese de email pentru acelasi client,Am un client cu 2 adrese de email.
Adaugare mai multe adrese de email pentru acelasi client,Pot sa introduc mai multe adrese de e-mail pentru un client?
Adaugare mai multe adrese de email pentru acelasi client,Cum fac sa trimit factura clientului pe mai multe adrese de e-mail?
Adaugare mai multe adrese de email pentru acelasi client,Cum inregistrez in program doua adrese de e-mail pentru acelasi client?
Adaugare mai multe adrese de email pentru acelasi client,Am un client cu mai multe adrese de e-mail si nu stiu cum sa le adaug.
Adaugare operatiuni manuale in extrasul de cont,Cum adaug operatiuni manuale in extrasul de cont?
Adaugare operatiuni manuale in extrasul de cont,Am un extras incompatibil si nu stiu cum sa adaug operatiunile manual.
Adaugare operatiuni manuale in extrasul de cont,Se pot adauga operatiuni manuale in extrasul de cont?
Adaugare produs / serviciu nou in nomenclator,Cum adaug un produs nou?
Adaugare produs / serviciu nou in nomenclator,Cum adaug un serviciu?
Adaugare produs / serviciu nou in nomenclator,De unde adaug produse?
Adaugare produs / serviciu nou in nomenclator,De unde adaug servicii?
Adaugare produs / serviciu nou in nomenclator,In ce meniu pot sa adaug produse?
Adaugare produs / serviciu nou in nomenclator,Cum adaug mai multe produse?
Adaugare produs / serviciu nou in nomenclator,Pot sa import mai multe produse?
Adaugare produs / serviciu nou in nomenclator,De unde pot sa import produse?
Adaugare produs / serviciu nou in nomenclator,Exista optiunea de import fisier cu produse?
Adaugare produs / serviciu nou in nomenclator,In ce meniu pot sa incarc produse cu fisier?
Adaugare produs compus,As dori sa compun un produs compus si nu stiu cum.
Adaugare produs compus,Cum adaug un produs compus?
Adaugare produs compus,cum fac un produs compus
Adaugare produs compus,creare produse compuse
Adaugare produs compus,unde pot defini un produs compus
Adaugare produs compus,cum pot crea un produs compus
Adaugare produs compus,de unde setez reteta produsului compus
Adaugare produs compus,cum adaug o reteta pentru produs compus
Adaugare produs compus,cum adaug un produs compus?
Adaugare produs compus,Cum creez un produs compus?
Adaugare produs compus,Produs compus pe baza de reteta
Adaugare produs compus,Produse pe baza de reteta
Adaugare produs compus,cum creez stoc pe produs compus
Adaugare produs compus,cum adaug o reteta
Adaugare produs compus,cum adaug reteta
Adaugare produs compus,Cum adaug o reteta?
Adaugare produs compus,creare produs compus
Adaugare produs compus,Ce este un produs compus?
Adaugare produs compus,Ce inseamna produs compus?
Adaugare produs compus,Modul de productie cu produse compuse
Adaugare produs compus,produse compuse in modulul productie
Adaugare produs compus,modulul de productie are produse cu reteta
Adaugare produs compus,modulul de productie poate avea produse compuse
Adaugare produs compus,la ce se refera produsul compus
Adaugare produse / servicii la emiterea facturii,Cum adaug produse in factura?
Adaugare produse / servicii la emiterea facturii,"Pot sa adaug mai multe produse sau servicii, pe factura?"
Adaugare produse / servicii la emiterea facturii,"Cum adaug produse in factura, folosind codul?"
Adaugare produse / servicii la emiterea facturii,Vreau sa identific mai usor produsele cand emit factura.
Adaugare produse in SmartBill si casa de marcat (dupa caz),Am o casa de marcat. Introducem produsele cu codul in ea sau se va face automat din program?
Adaugare produse in SmartBill si casa de marcat (dupa caz),Trebuie sa adaug produsele in casa de marcat sau doar in program?
Adaugare produse in SmartBill si casa de marcat (dupa caz),Vreau sa nu mai introduc produsele si in casa de marcat.
Adaugare produse in SmartBill si casa de marcat (dupa caz),"La emiterea bonului, se preiau produsele din program sau trebuie sa le am si in casa?"
Adaugare produse in SmartBill si casa de marcat (dupa caz),"Cand emit receptia in SmartBill, codurile produselor se adauga automat si in casa de marcat?"
Adaugare produse noi pe inventar,Pot adauga produse noi pe inventar?
Adaugare produse noi pe inventar,"Sunt in depozit produse care nu exista in SmartBill, le pot adauga pe inventar cu cantitate?"
Adaugare produse noi pe inventar,adauga produse noi pe inventar
Adaugare produse noi pe inventar,adauga produse in inventar cu cantitate
Adaugare produse noi pe inventar,cum pot include produse noi pe inventar
Adaugare produse noi pe inventar,adauga produse pe inventar fara receptie
Adaugare produse noi pe inventar,includere produse pe inventar fara a emite receptie
Adaugare produse noi pe inventar,cum adaug produse noi pe inventar
Adaugare produse noi pe inventar,produse noi in inventar
Adaugare produse noi pe inventar,Adaugare produse noi pe inventar
Adaugare sediu secundar (punct de lucru) in SmartBill,"Doua puncte de lucru, cum adaug unul in SmartBill pt evidenta separata registre de casa diferite?"
Adaugare sediu secundar (punct de lucru) in SmartBill,Cum fac sa adaug un punct de lucru separat de pe care sa emit facturi?
Adaugare sediu secundar (punct de lucru) in SmartBill,Cum adaug pe factura adresa de la un alt punct de lucru?
Adaugare sediu secundar (punct de lucru) in SmartBill,Vreau sa emit facturi de la punctul de lucru
Adaugare sediu secundar (punct de lucru) in SmartBill,"Am doua puncte de lucru si mi-as dori sa adaug un punct de lucru in SmartBill, sa am evidenta separata si registre de casa diferite"
Adaugare sediu secundar (punct de lucru) in SmartBill,sediu secundar
Adaugare sediu secundar (punct de lucru) in SmartBill,adaugare punct de lucru
Adaugare sediu secundar (punct de lucru) in SmartBill,adaugare sediu secundar
Adaugare serviciu pe factura,Vreau sa facturez un serviciu si imi apare ca nu am stoc.
Adaugare serviciu pe factura,Am adaugat un serviciu pe factura si imi apare ca nu am stoc.
Adaugare serviciu pe factura,Cum salvez factura cu descarcare daca am si servicii?
Adaugare serviciu pe factura,"Trebuie sa am stoc si pe servicii, pentru a factura cu descarcare?"
Adaugare serviciu pe factura,cum facturez un serviciu
Adaugare serviciu pe factura,cum facturez un serviciu fara stoc
Adaugare serviciu pe factura,pe servicii exista stoc?
Adaugare sigla,Cum pot sa imi adaug o sigla in sistem?
Adaugare sigla,Cum adaug logo pe factura?
Adaugare sigla,Pot sa adaug mai multe sigle?
Adaugare sigla,Cum fac sa imi apara alta sigla pe seria noua?
Adaugare sigla,Cum incarc o poza cu un alt logo pentru cealalta serie pe care o folosesc?
Adaugare traducere produs,Unde pot sa adaug traducerea produsului?
Adaugare traducere produs,"Pot sa completez traducerea, pentru a fi preluata automat la emitere?"
Adaugare traducere produs,In ce meniu pot seta traducerea produsului?
Adaugare traducere produs,Cum adaug traducerea produsului?
Adaugare traducere produs,cum pot .configura traduceri pentru produse
Adaugare traducere produs,traducerea denumirii produselor
Adaugare unitate de masura secundara pe un produs existent,Cum adaug o unitate noua de masura?
Adaugare unitate de masura secundara pe un produs existent,Pot sa adaug mai multe unitati de masura?
Adaugare unitate de masura secundara pe un produs existent,Vreau sa vand produsul la set dar si la bucata.
Adaugare utilizator  - contabilul tau,Cum ii dau acces contabilului meu in contul meu de gestiune?
Adaugare utilizator  - contabilul tau,Vreau sa configurez user pentru contabil
Adaugare utilizator  - contabilul tau,Cum fac un utilizator nou pentru contabil?
Adaugare utilizator  - contabilul tau,Pot adauga un utilizator pentru contabil?
Adaugare utilizator  - contabilul tau,"Contabilul meu vrea si el acces la cont, cum il adaug?"
Adaugare utilizator nou,Cum adaug un utilizator?
Adaugare utilizator nou,Vreau sa mai adaug un utilizator.
Adaugare utilizator nou,De unde mai pot sa adaug utilizatori?
Adaugare utilizator nou,Pot sa mai adaug utilizatori?
Adaugare utilizator nou,adaugare utilizator nou
Adaugare utilizator nou,adaug user nou
Adaugare utilizator nou,adaug utilizator nou
Adaugare utilizator nou,adaug utlizatori noi
Adaugare utilizator nou,utilizator de cont in plus
"Adaugare, modificare sau stergere categorii de cheltuieli",De unde pot sa adaug categorii de cheltuieli?
"Adaugare, modificare sau stergere categorii de cheltuieli",Unde gasesc categoriile de cheltuieli?
"Adaugare, modificare sau stergere categorii de cheltuieli",Cum fac sa mai adaug cheltuieli?
"Adaugare, modificare sau stergere categorii de cheltuieli",Pot sa modific o categorie de cheltuiala?
"Adaugare, modificare sau stergere categorii de cheltuieli",Din ce meniu pot sa sterg categoriile de cheltuieli?
"Adaugare, modificare sau stergere categorii de cheltuieli",Vreau sa sterg o categorie
"Adaugare, modificare sau stergere categorii de cheltuieli",Cum sterg o categorie de cheltuiala?
"Adaugare, modificare sau stergere categorii de cheltuieli",Nu gasesc categorile de cheltuieli
Adaugarea transport pe factura,Cum pot sa scot produsele cu gestiune din stoc pe factura pt ca transportul este fara gestiune
Adaugarea transport pe factura,Vreau sa facturez cu transport si nu ma lasa sa descarc stocul.
Adaugarea transport pe factura,Nu pot salva factura cu descarcare stoc daca am si serviciul de transport?
Adaugarea transport pe factura,"Cum fac sa adaug si transport in factura, si sa descarc gestiunea?"
Adaugarea transport pe factura,Adaugarea transport pe factura
Afisare conturi bancare pe document,cum fac sa mi apara contul curent al firmei inaintea celui de trezorerie?
Afisare conturi bancare pe document,"Vreau sa modific ordinea conturilor, cel de trezorerie sa apara dupa contul firmei"
Afisare conturi bancare pe document,As vrea sa schimb ordinea conturilor IBAN.
Afisare conturi bancare pe document,Cum fac sa imi apara contul firmei inaintea celui de trezorerie?
Afisare conturi bancare pe document,cum fac sa mi apara contul curent al firmei inaintea celui de trezorerie?
Afisare conturi bancare pe document,cum pot sa schimb ordinea conturilor IBAN pe documente
Afisare conturi bancare pe document,Afisarea conturilor bancare pe un document
Afisare conturi bancare pe factura,Cum schimb IBAN-ul afisat din partea de jos a facturii?
Afisare conturi bancare pe factura,"As vrea sa modific IBAN-ul din pagina, cel de jos. Cum fac?"
Afisare conturi bancare pe factura,Trebuie sa inlocuiesc IBAN-ul din josul facturii si nu stiu cum sa procedez.
Afisare conturi bancare pe factura,Cum schimb IBAN la sfarsitul facturii
Afisare conturi bancare pe factura,Cate conturi pot afisa maxpe facturi si in ce ordine se vor afisa pe facturile/documentele emise?
Afisare conturi bancare pe factura,Vreau sa imi apara ambele conturi pe factura.
Afisare conturi bancare pe factura,Cum fac sa imi apara contul de euro in partea de sus a facturii?
Afisare conturi bancare pe factura,Pot adauga mai multe conturi iban?
Afisare conturi bancare pe factura,cate conturi pot afisa maxim pe facturi
Afisare conturi bancare pe factura,cate conturi pot fi afisate pe facturi si in ce ordine
Afisare conturi bancare pe factura,cum sunt afisare conturile pe factura
Afisare cost achizitie la emitere factura,Apare costul de achizitie al produsului la facturare?
Afisare cost achizitie la emitere factura,Pot sa aflu costul produselor la emitere factura?
Afisare cost achizitie la emitere factura,"Programul afiseaza costul bunurilor vandute, la facturare?"
Afisare cost achizitie la emitere factura,"Vreau sa stiu costul produsului, cand facturez."
Afisare cost achizitie la emitere factura,cost de achizitie produs la facturare
Afisare cost achizitie la emitere factura,care este costul produselor cand emit factura
Afisare cost achizitie la emitere factura,cum vad care este costului produsului cand facturez?
Afisare cota TVA pe receptie (NIR),Vreau sa se afiseze cota TVA pe nirurile emise in smartbill.
Afisare cota TVA pe receptie (NIR),Contabila imi cere ca pe NIRurile emise sa fie afisata cota TVA pentru produse.
Afisare cota TVA pe receptie (NIR),De ce nu apare TVA pe NIRul salvat?
Afisare cota TVA pe receptie (NIR),Nu apare TVA pe NIR salvat
Afisare cota TVA pe receptie (NIR),Cum afisez cota TVA pe NIR
Afisare data scadenta pe documentele recurente,cum se calculeaza scadenta recurentelor
Afisare data scadenta pe documentele recurente,vreau sa stabilesc scadenta recurentelor
Afisare data scadenta pe documentele recurente,pot sa stabilesc scadenta recurentelor lunar
Afisare data scadenta pe documentele recurente,pot sa stabilesc o anumita data ca scadenta pentru recurenta
Afisare data scadenta pe documentele recurente,Afisare data scadenta pe documentele recurente
Afisare in Raport TVA,Pot vedea o situatie trimestriala a raportului de TVA?
Afisare in Raport TVA,Exista un raport de TVA calculat semestrial?
Afisare in Raport TVA,Cum afisez raportul de TVA anual?
Afisare in Raport TVA,situatie trimestriala a raportului de TVA?
Afisare in Raport TVA,Afisare in Raport TVA
Afisare numar de telefon client pe factura,"Dorim ca pe facturile clientilor sa se preia si numarul de telefon, acolo unde este completat"
Afisare numar de telefon client pe factura,Cum pun pe factura numarul de telefon al clientului?
Afisare numar de telefon client pe factura,Unde trebuie sa introduc numarul de telefon al clientului ca sa apara pe factura?
Afisare numar de telefon client pe factura,Vreau sa apara pe factura numarul de telefon al clientului
Afisare numar de telefon client pe factura,pe facturile clientilor sa se preia si numarul de telefon
Afisare numar de telefon client pe factura,pe facturile clientilor sa se preia si nr. de tel.
Afisare pret la emitere documente intr-o gestiune cantitativ valorica,Am gestiune cantitativ valorica si nu apare pretul la emiterea facturii.
Afisare pret la emitere documente intr-o gestiune cantitativ valorica,"Cum pot seta pretul de vanzare, daca am gestiune cantitativ-valorica?"
Afisare pret la emitere documente intr-o gestiune cantitativ valorica,Am receptionat produsele in gestiune dar nu apare pretul la vanzare.
Afisarea bonurilor in raportul de gestiune,De ce nu imi apar bonurile in raportul de gestiune?
Afisarea bonurilor in raportul de gestiune,"Vreau sa vad separat bonurile, in gestiune zilnica."
Afisarea bonurilor in raportul de gestiune,Am emis bonuri dar nu apar in raportul gestiune zilnica.
Afisarea cotei TVA pe NIR pentru o companie neplatitoare de TVA,"Firma mea este neplatitoare TVA. De ce mi se afiseaza cota TVA pe produse, la emitere NIR?"
Afisarea cotei TVA pe NIR pentru o companie neplatitoare de TVA,"Doresc sa emit un NIR cu TVA, dar firma mea este neplatitoare TVA."
Afisarea cotei TVA pe NIR pentru o companie neplatitoare de TVA,"Am o factura furnizor emisa cu TVA. Cum o inregistrez in SmartBill, daca firma mea e neplatitoare TVA?"
Afisarea cotei TVA pe NIR pentru o companie neplatitoare de TVA,"Neplatitor TVA. De ce mi se afiseaza cota TVA pe produse, la emitere NIR?"
Afisarea cotei TVA pe NIR pentru o companie neplatitoare de TVA,mi se afiseaza cota TVA pe produse la emitere NIR
Afisarea cotei TVA pe NIR pentru o companie neplatitoare de TVA,Afisarea cotei TVA pe NIR pentru o companie neplatitoare de TVA
Afisarea facturilor de stornat,De ce nu gasesc o factura emisa in fereasta Alege facturi de stornat?
Afisarea facturilor de stornat,fereastra Alege facturi de stornat
Afisarea facturilor de stornat,ce facturi pot sa vad in fereastra Alege facturi de stornat
Afisarea facturilor de stornat,facturile stornate sunt afisate in fereastra Alege facturi de stornat?
Afisarea facturilor de stornat,Afisarea facturilor de stornat
Afisarea FN la numar document in Raportul Documente Furnizori,In documente furnizori imi apare Fact FN pentru mai multe cheltuieli
Afisarea FN la numar document in Raportul Documente Furnizori,Ce inseamna FN in documente furnizori?
Afisarea FN la numar document in Raportul Documente Furnizori,FN in documente facturi
Afisarea FN la numar document in Raportul Documente Furnizori,ce reprezinta FN pe documente
Afisarea FN la numar document in Raportul Documente Furnizori,ce este Fact FN
Afisarea FN la numar document in Raportul Documente Furnizori,apare FN in documente de la furnizor
Afisarea FN la numar document in Raportul Documente Furnizori,Afisarea FN la numar document in Raportul Documente Furnizori
Afisarea produselor in functie de gestiuni,de ce nu sunt afisate toate produsele pe care le am
Afisarea produselor in functie de gestiuni,la vanzare nu vad toate produsele pe care le am inregistrate
Afisarea produselor in functie de gestiuni,cum vad toate produsele pe care le am
Afisarea produselor in functie de gestiuni,afisare produse din toate gestiunile
Afisarea produselor in functie de gestiuni,nu vad toate produsele pe care le am inregistrate
Afisarea produselor in functie de gestiuni,cum vad toate produsele
Afisarea produselor in functie de gestiuni,Afisarea produselor in functie de gestiuni
Afisarea scadentei in Raportul Facturi Neincasate,Cum pot sa vad o coloana cu data scadentei in raportul de facturi neincasate?
Afisarea scadentei in Raportul Facturi Neincasate,Am facturi cu scadenta dar nu imi apare data in raportul Facturi neincasate.
Afisarea scadentei in Raportul Facturi Neincasate,Cum fac sa imi apara data scadenta in Facturi neincasate?
Afisarea scadentei in Raportul Facturi Neincasate,Nu apare data scadenta in raportul de facturi neincasate. Exista vreao setare?
Afisarea scadentei in Raportul Facturi Neincasate,Afisarea scadentei in Raportul Facturi Neincasate
Afisarea scadentei in raportul Situatia platilor,Cum pot sa vad o coloana cu data scadenta pentru facturile de la furnizor care mai sunt de achitat?
Afisarea scadentei in raportul Situatia platilor,Vreau sa vad scadentele la facturile de la furnizori
Afisarea scadentei in raportul Situatia platilor,Unde vad in program data scadenta pentru o factura de la furnizor?
Afisarea scadentei in raportul Situatia platilor,Nu imi apare data scadenta pentru facturile de la furnizori.
"Afisareea textului : ""circula fara semnatura si stampila""",Nu gasesc unde pot seta sa apara pe factura/proforma ca â€nu e necesara stampila conform.....â€
"Afisareea textului : ""circula fara semnatura si stampila""",Vreau sa afisez pe factura ca circula fara semnatura si stampila
"Afisareea textului : ""circula fara semnatura si stampila""",Cum pun pe factura ca circula fara semnatura si stampila?
"Afisareea textului : ""circula fara semnatura si stampila""",Unde pot sa scriu pe factura ca circula fara stampila?
"Afisareea textului : ""circula fara semnatura si stampila""",unde configurez ca factura poate circula fara semnatura si stampila
Ajustarea de stoc (reglarea stocului),"Am un stoc de marfa gresit in SmartBill, cum il pot corecta?"
Ajustarea de stoc (reglarea stocului),cum corectez stocul de marfa
Ajustarea de stoc (reglarea stocului),nu am corect stocul de marfa in program
Ajustarea de stoc (reglarea stocului),unde pot corecta stocul de marfa in program
Ajustarea de stoc (reglarea stocului),cum ajustez stocul de marfa 
Ajustarea de stoc (reglarea stocului),ajustari pozitive cat si ajustari negative pe toate tipurile de gestiuni
