label,text
Modificare drepturi utilizator,limita utilizatori?
Modificare factura,facturare actualizeaza lista
Modificare format factura,cum modific configuratia facturilor?
Modificare format factura,cum modific configuratia facturii? am nevoie de un template unde sa se vada traducerea in ro/eng...am pe un alt cont alt configuratie de factura care functioneaza
Modificare numar factura,cum pot sa scriu nr facturii manual?
Modificare parola de acces in SmartBill,nu stiu cum sa aflu cheita de la authentificator
Modificare produs adaugat pe factura,CORECTARE PRODUS
Modificare produs adaugat pe factura,MODIFICARE PRODUS
Modificare serie factura cu primul numar eronat,Ce scriu la seria facturii
Modificare serie factura cu primul numar eronat,buna1cum pot sa modific nr facturii care se genereaza automat?
Modificare serie factura cu primul numar eronat,cum se creaza o serie noua de facturi in smartbill?
Modificare status incasare factura,de unde modific statusul din incasat in neincasat pe o factura emisa de mine?
Nemultumiri,nu esti suficient de inteligent
Nemultumiri,Nu ma ajutati cu raspunsurile astea
Nemultumiri,FOARTE PROST BOT!
NETOPIA,"BUNA ZIUA,AM SEMNAT CONTRACTUL CU NETOPIA,MI AU SPUS  CA AR TREBUI SA AM BUTONUL PLATESTE CU CARDUL ACTIV .DORESC ASISTENTA IN ACEST SENS"
NETOPIA,salutare! nu reusesc sa activez netopia payments pe contul acesta
NETOPIA,activare netopia payments
NETOPIA,netopia
NETOPIA,cum pot activa netopia?
NETOPIA,NETOPIA PAYMENTS
NETOPIA,info netopia
Preluare curs valutar,"Buna ziua, doresc sa modific cursul de schimb pe facturile emise in EUR. Este posibil?"
Prelungire abonament,"Buna ziua, peste 14 zile expira abonamentul nostru la smart bill, va rog puteti sa ne trimiteti pe mail o proforma pentru a achita?"
Prelungire abonament,Cum prelungesc abonamentul?
Prelungire abonament,ExpirÄƒ contul Smart Bill?
Prelungire abonament,cum prelungesc abonamentul?
Prelungire abonament,prelungire abonament
Prelungire abonament,reanoire
Prelungire abonament,vreu sa prelungesc
Prelungire abonament,"Buna dimineata, aÈ™tept o oferta de la un coleg de al vostru pt prelungire."
Prelungire abonament,Vreau sa prelungesc abonamentul cu promotia Visa
Prelungire abonament,Nu mai dorim prelungirea abonamentului care se expira in data de 17.08
Prestashop - configurare,Am o intrebare referitoare la configurarea modului in Prestashop
Prestashop - configurare,Cum pot integra modulul in Prestashop ?
Probleme preluare comenzi pentru facturare,sunt probleme cu preluareaa comenzilor pentru facturat
Probleme preluare comenzi pentru facturare,nu se actualizeaza lista de comenzi pentru facturare
Procedura pentru stergere gestiune,"Doresc sa sterg o gesiune ce tocmai a fost adaugata, doar ca nu imi apare in platforma"
Procedura pentru stergere gestiune,s-a efectuat o greseala .acest cont il puteti sterge din sistem.multumim
Raport produse finite/produse consumate,Vanzari pe produse proforme
Reconcilierea incasarilor din extrasul de cont,cum se face legatura dintre facturi si incasari pe baza importului de la netopia?
Repartizare transport pe NIR,"Cum pot aloca pe produse cheltuiala cu transportul, asigurarea marfii ?"
Schimbare Firme in cont,cum pot schimba firmele din acelasi cont
Serie pentru factura recurenta,doresc sa creez o noua serie de facturi in smartbill
Servicii abonament,Ce servicii urmeaza sa expire ?
Servicii abonament,Care sunt serviciile ce vor expira?
Servicii abonament,ce pachet imi este potrivit
sesiunea este expirata,sesiunea este expirata
Small Talk,real
Start-flow - back to menu,nu pot sa folosesc smartbil
Start-flow - back to menu,as  avea nevoie  de ajutor
Start-flow - back to menu,hellloo
Start-flow - back to menu,Rog mult sa ma ajutati
Stornare factura,nu functioneaza meniul stornare
Stornare factura,nu functioneaza stornarea
Stornare partiala factura,STORNARE PRODUS DINTR-O FACTURA
Stornare partiala factura,cum se inchide o factura de minus cu alta factura incasata partial?
Stornare partiala factura,as dori sa stornez un produs de pe o factura emisa luna trecuta
Stornare partiala factura,stornare produs
Transfer to agent,nu este raspunsul asteptat
Upgrade abonament SmartBill,cum fac upgrade?
Verificare trimitere factura pe e-mail,Cum pot vedea catre ce adresa de mail a fost trimisa o factura?
Vizualizare incasare partiala,De ce nu se poate incasa o factura partial cu bon? imi apare ca daca vreau sa emit un bon trebuie sa incasez factura total
